# field	required	validation	description
schema_version	yes	assessment-run-events/v2	Version of this record contract.
run_id	yes	lowercase-hyphenated identifier	Correlation identifier shared by every event in one run.
event_sequence	yes	positive integer	Strictly increasing event sequence within the run.
event_type	yes	frame|make|integrate|review|synthesize|seal	Lifecycle checkpoint represented by this row.
policy_ref	yes	sha256 digest	Digest of the canonical assessment policy used by the run.
adapter_ref	yes	sha256 digest or unknown	Digest of the active surface adapter when observable.
surface	yes	codex|claude-code|cursor|ci	Runtime surface producing evidence.
control_id	yes	scope|control|independence|evidence|delivery	Lifecycle control evaluated by the event.
capability	yes	enforced|observed|attested|unsupported	Declared host capability for this control.
lane	yes	tier-1|tier-2|tier-3	Declared proportional engineering lane.
mutation	yes	none|target-mutated	Whether the assessed run mutated the target.
topology	yes	sol-only|bounded-makers	Declared execution topology.
unit_id	conditional	bounded identifier or unknown	Maker unit identifier.
actor_id	conditional	bounded identifier or unknown	Actor identity, distinct from route facts; frame and synthesize identify Sol.
route_requested	no	bounded identifier or unknown	Requested route.
route_configured	no	bounded identifier or unknown	Configured route.
route_observed	no	bounded identifier or unknown	Observed completion route.
owned_path	conditional	repository-relative path or unknown	Exclusive repository-relative path owned by a maker unit.
decomposition_ref	conditional	bounded identifier or unknown	Bounded decomposition evidence reference.
integration_ref	conditional	bounded identifier or unknown	Stable target/integration evidence reference.
reviewer_actor_id	conditional	bounded identifier or unknown	Independent reviewer actor identity.
artifact_ref	no	bounded identifier or sha256 digest	Opaque permitted artifact reference.
result	no	pass|fail|unverified	Control result observed at this checkpoint.
